"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","plaborforce","TimeFrame","GeoVintage","Source","Location"
"Zip Code Tabulation Area","85003","AZ","85003","=""85003""","55.11","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85004","AZ","85004","=""85004""","69.21","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85006","AZ","85006","=""85006""","68.94","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85007","AZ","85007","=""85007""","67.31","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85008","AZ","85008","=""85008""","74.52","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85009","AZ","85009","=""85009""","55.89","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85012","AZ","85012","=""85012""","66.10","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85013","AZ","85013","=""85013""","72.79","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85014","AZ","85014","=""85014""","75.33","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85015","AZ","85015","=""85015""","71.17","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85016","AZ","85016","=""85016""","72.99","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85017","AZ","85017","=""85017""","62.27","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85018","AZ","85018","=""85018""","71.16","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85019","AZ","85019","=""85019""","65.64","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85020","AZ","85020","=""85020""","68.05","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85021","AZ","85021","=""85021""","67.49","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85022","AZ","85022","=""85022""","68.86","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85023","AZ","85023","=""85023""","69.48","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85024","AZ","85024","=""85024""","76.38","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85026","AZ","85026","=""85026""","N/A","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85027","AZ","85027","=""85027""","70.65","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85028","AZ","85028","=""85028""","62.95","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85029","AZ","85029","=""85029""","67.62","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85031","AZ","85031","=""85031""","65.80","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85032","AZ","85032","=""85032""","69.53","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85033","AZ","85033","=""85033""","65.78","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85034","AZ","85034","=""85034""","69.52","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85035","AZ","85035","=""85035""","66.79","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85037","AZ","85037","=""85037""","72.62","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85040","AZ","85040","=""85040""","64.13","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85041","AZ","85041","=""85041""","63.72","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85042","AZ","85042","=""85042""","68.68","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85043","AZ","85043","=""85043""","68.70","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85044","AZ","85044","=""85044""","66.75","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85045","AZ","85045","=""85045""","72.10","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85048","AZ","85048","=""85048""","70.17","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85050","AZ","85050","=""85050""","71.48","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85051","AZ","85051","=""85051""","65.38","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85053","AZ","85053","=""85053""","68.98","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85054","AZ","85054","=""85054""","70.88","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85083","AZ","85083","=""85083""","66.73","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85085","AZ","85085","=""85085""","73.92","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85086","AZ","85086","=""85086""","63.88","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85087","AZ","85087","=""85087""","62.47","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85201","AZ","85201","=""85201""","72.07","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85202","AZ","85202","=""85202""","73.78","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85203","AZ","85203","=""85203""","66.63","2020-2024","2020","Census","Maricopa (County, 2022)"
