ZIP,Unemployment_Rate,Labor_Force,Median_Income,Poverty_Rate,Percent_Bachelors,Commute_Time,Vehicles_per_Household,Percent_Public_Transit,Percent_Driving,Transportation_Score
85003,4.29,55.11,60461.0,28.85,22.72,21.0,1.1,5.57,57.01,1.3142156862745096
85003,4.29,55.11,60461.0,28.85,22.72,21.0,1.1,5.57,57.01,1.3142156862745096
85003,4.29,55.11,60461.0,28.85,22.72,21.0,1.1,5.57,57.01,1.3142156862745096
85003,4.29,55.11,60461.0,28.85,22.72,21.0,1.1,5.57,57.01,1.3142156862745096
85003,4.29,55.11,60461.0,28.85,22.72,21.0,1.1,5.57,57.01,1.3142156862745096
85003,4.29,55.11,60461.0,28.85,22.72,21.0,1.1,5.57,57.01,1.3142156862745096
85003,4.29,55.11,60461.0,28.85,22.72,21.0,1.1,5.57,57.01,1.3142156862745096
85003,4.29,55.11,60461.0,28.85,22.72,21.0,1.1,5.57,57.01,1.3142156862745096
85003,4.29,55.11,60461.0,28.85,22.72,21.0,1.1,5.57,57.01,1.3142156862745096
85003,4.29,55.11,60461.0,28.85,22.72,21.0,1.1,5.57,57.01,1.3142156862745096
85004,7.75,69.21,73750.0,21.67,34.43,22.0,1.2,4.34,53.34,1.4784313725490197
85004,7.75,69.21,73750.0,21.67,34.43,22.0,1.2,4.34,53.34,1.4784313725490197
85004,7.75,69.21,73750.0,21.67,34.43,22.0,1.2,4.34,53.34,1.4784313725490197
85004,7.75,69.21,73750.0,21.67,34.43,22.0,1.2,4.34,53.34,1.4784313725490197
85004,7.75,69.21,73750.0,21.67,34.43,22.0,1.2,4.34,53.34,1.4784313725490197
85004,7.75,69.21,73750.0,21.67,34.43,22.0,1.2,4.34,53.34,1.4784313725490197
85004,7.75,69.21,73750.0,21.67,34.43,22.0,1.2,4.34,53.34,1.4784313725490197
85004,7.75,69.21,73750.0,21.67,34.43,22.0,1.2,4.34,53.34,1.4784313725490197
85004,7.75,69.21,73750.0,21.67,34.43,22.0,1.2,4.34,53.34,1.4784313725490197
85004,7.75,69.21,73750.0,21.67,34.43,22.0,1.2,4.34,53.34,1.4784313725490197
85004,7.75,69.21,73750.0,21.67,34.43,22.0,1.2,4.34,53.34,1.4784313725490197
85004,7.75,69.21,73750.0,21.67,34.43,22.0,1.2,4.34,53.34,1.4784313725490197
85006,4.8,68.94,58248.0,23.08,15.52,22.0,1.6,3.58,73.94,1.2568627450980392
85006,4.8,68.94,58248.0,23.08,15.52,22.0,1.6,3.58,73.94,1.2568627450980392
85006,4.8,68.94,58248.0,23.08,15.52,22.0,1.6,3.58,73.94,1.2568627450980392
85006,4.8,68.94,58248.0,23.08,15.52,22.0,1.6,3.58,73.94,1.2568627450980392
85006,4.8,68.94,58248.0,23.08,15.52,22.0,1.6,3.58,73.94,1.2568627450980392
85006,4.8,68.94,58248.0,23.08,15.52,22.0,1.6,3.58,73.94,1.2568627450980392
85006,4.8,68.94,58248.0,23.08,15.52,22.0,1.6,3.58,73.94,1.2568627450980392
85006,4.8,68.94,58248.0,23.08,15.52,22.0,1.6,3.58,73.94,1.2568627450980392
85006,4.8,68.94,58248.0,23.08,15.52,22.0,1.6,3.58,73.94,1.2568627450980392
85006,4.8,68.94,58248.0,23.08,15.52,22.0,1.6,3.58,73.94,1.2568627450980392
85006,4.8,68.94,58248.0,23.08,15.52,22.0,1.6,3.58,73.94,1.2568627450980392
85006,4.8,68.94,58248.0,23.08,15.52,22.0,1.6,3.58,73.94,1.2568627450980392
85006,4.8,68.94,58248.0,23.08,15.52,22.0,1.6,3.58,73.94,1.2568627450980392
85006,4.8,68.94,58248.0,23.08,15.52,22.0,1.6,3.58,73.94,1.2568627450980392
85006,4.8,68.94,58248.0,23.08,15.52,22.0,1.6,3.58,73.94,1.2568627450980392
85006,4.8,68.94,58248.0,23.08,15.52,22.0,1.6,3.58,73.94,1.2568627450980392
85006,4.8,68.94,58248.0,23.08,15.52,22.0,1.6,3.58,73.94,1.2568627450980392
85006,4.8,68.94,58248.0,23.08,15.52,22.0,1.6,3.58,73.94,1.2568627450980392
85006,4.8,68.94,58248.0,23.08,15.52,22.0,1.6,3.58,73.94,1.2568627450980392
85006,4.8,68.94,58248.0,23.08,15.52,22.0,1.6,3.58,73.94,1.2568627450980392
85006,4.8,68.94,58248.0,23.08,15.52,22.0,1.6,3.58,73.94,1.2568627450980392
85007,5.43,67.31,63616.0,21.61,12.38,23.0,1.6,3.01,77.66,1.4073529411764705
85007,5.43,67.31,63616.0,21.61,12.38,23.0,1.6,3.01,77.66,1.4073529411764705
85007,5.43,67.31,63616.0,21.61,12.38,23.0,1.6,3.01,77.66,1.4073529411764705
85007,5.43,67.31,63616.0,21.61,12.38,23.0,1.6,3.01,77.66,1.4073529411764705
85007,5.43,67.31,63616.0,21.61,12.38,23.0,1.6,3.01,77.66,1.4073529411764705
85007,5.43,67.31,63616.0,21.61,12.38,23.0,1.6,3.01,77.66,1.4073529411764705
85007,5.43,67.31,63616.0,21.61,12.38,23.0,1.6,3.01,77.66,1.4073529411764705
85007,5.43,67.31,63616.0,21.61,12.38,23.0,1.6,3.01,77.66,1.4073529411764705
85007,5.43,67.31,63616.0,21.61,12.38,23.0,1.6,3.01,77.66,1.4073529411764705
85007,5.43,67.31,63616.0,21.61,12.38,23.0,1.6,3.01,77.66,1.4073529411764705
85007,5.43,67.31,63616.0,21.61,12.38,23.0,1.6,3.01,77.66,1.4073529411764705
85007,5.43,67.31,63616.0,21.61,12.38,23.0,1.6,3.01,77.66,1.4073529411764705
85007,5.43,67.31,63616.0,21.61,12.38,23.0,1.6,3.01,77.66,1.4073529411764705
85007,5.43,67.31,63616.0,21.61,12.38,23.0,1.6,3.01,77.66,1.4073529411764705
85007,5.43,67.31,63616.0,21.61,12.38,23.0,1.6,3.01,77.66,1.4073529411764705
85008,4.67,74.52,66353.0,18.45,17.89,23.0,1.6,4.84,76.38,1.138235294117647
85008,4.67,74.52,66353.0,18.45,17.89,23.0,1.6,4.84,76.38,1.138235294117647
85008,4.67,74.52,66353.0,18.45,17.89,23.0,1.6,4.84,76.38,1.138235294117647
85008,4.67,74.52,66353.0,18.45,17.89,23.0,1.6,4.84,76.38,1.138235294117647
85008,4.67,74.52,66353.0,18.45,17.89,23.0,1.6,4.84,76.38,1.138235294117647
85008,4.67,74.52,66353.0,18.45,17.89,23.0,1.6,4.84,76.38,1.138235294117647
85008,4.67,74.52,66353.0,18.45,17.89,23.0,1.6,4.84,76.38,1.138235294117647
85008,4.67,74.52,66353.0,18.45,17.89,23.0,1.6,4.84,76.38,1.138235294117647
85008,4.67,74.52,66353.0,18.45,17.89,23.0,1.6,4.84,76.38,1.138235294117647
85008,4.67,74.52,66353.0,18.45,17.89,23.0,1.6,4.84,76.38,1.138235294117647
85008,4.67,74.52,66353.0,18.45,17.89,23.0,1.6,4.84,76.38,1.138235294117647
85008,4.67,74.52,66353.0,18.45,17.89,23.0,1.6,4.84,76.38,1.138235294117647
85008,4.67,74.52,66353.0,18.45,17.89,23.0,1.6,4.84,76.38,1.138235294117647
85008,4.67,74.52,66353.0,18.45,17.89,23.0,1.6,4.84,76.38,1.138235294117647
85008,4.67,74.52,66353.0,18.45,17.89,23.0,1.6,4.84,76.38,1.138235294117647
85008,4.67,74.52,66353.0,18.45,17.89,23.0,1.6,4.84,76.38,1.138235294117647
85008,4.67,74.52,66353.0,18.45,17.89,23.0,1.6,4.84,76.38,1.138235294117647
85008,4.67,74.52,66353.0,18.45,17.89,23.0,1.6,4.84,76.38,1.138235294117647
85008,4.67,74.52,66353.0,18.45,17.89,23.0,1.6,4.84,76.38,1.138235294117647
