"Location","SitsinState","GeoID_Description_1","GeoVintage_1","GeoID_Name_1","GeoID_1","GeoID_Formatted_1","ptranmv_20202024","TimeFrame_1","GeoID_Description_2","GeoVintage_2","GeoID_Name_2","GeoID_2","GeoID_Formatted_2","ptranpt_20202024","TimeFrame_2"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85003","85003","85003","57.01","2020-2024","Zip Code Tabulation Area, 2020","2020","85003","85003","85003","5.57","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85004","85004","85004","53.34","2020-2024","Zip Code Tabulation Area, 2020","2020","85004","85004","85004","4.34","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","73.94","2020-2024","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","3.58","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85007","85007","85007","77.66","2020-2024","Zip Code Tabulation Area, 2020","2020","85007","85007","85007","3.01","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85008","85008","85008","76.38","2020-2024","Zip Code Tabulation Area, 2020","2020","85008","85008","85008","4.84","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85009","85009","85009","84.75","2020-2024","Zip Code Tabulation Area, 2020","2020","85009","85009","85009","4.32","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85012","85012","85012","68.71","2020-2024","Zip Code Tabulation Area, 2020","2020","85012","85012","85012","2.49","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85013","85013","85013","63.99","2020-2024","Zip Code Tabulation Area, 2020","2020","85013","85013","85013","3.10","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85014","85014","85014","71.23","2020-2024","Zip Code Tabulation Area, 2020","2020","85014","85014","85014","3.77","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85015","85015","85015","71.84","2020-2024","Zip Code Tabulation Area, 2020","2020","85015","85015","85015","5.30","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85016","85016","85016","69.26","2020-2024","Zip Code Tabulation Area, 2020","2020","85016","85016","85016","0.94","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85017","85017","85017","77.45","2020-2024","Zip Code Tabulation Area, 2020","2020","85017","85017","85017","3.96","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85018","85018","85018","72.76","2020-2024","Zip Code Tabulation Area, 2020","2020","85018","85018","85018","1.72","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85019","85019","85019","80.64","2020-2024","Zip Code Tabulation Area, 2020","2020","85019","85019","85019","2.77","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85020","85020","85020","73.11","2020-2024","Zip Code Tabulation Area, 2020","2020","85020","85020","85020","1.71","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85021","85021","85021","73.90","2020-2024","Zip Code Tabulation Area, 2020","2020","85021","85021","85021","4.36","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85022","85022","85022","72.13","2020-2024","Zip Code Tabulation Area, 2020","2020","85022","85022","85022","0.76","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85023","85023","85023","71.99","2020-2024","Zip Code Tabulation Area, 2020","2020","85023","85023","85023","3.65","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85024","85024","85024","73.42","2020-2024","Zip Code Tabulation Area, 2020","2020","85024","85024","85024","0.46","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85027","85027","85027","72.49","2020-2024","Zip Code Tabulation Area, 2020","2020","85027","85027","85027","1.52","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85028","85028","85028","65.27","2020-2024","Zip Code Tabulation Area, 2020","2020","85028","85028","85028","0.62","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85029","85029","85029","76.82","2020-2024","Zip Code Tabulation Area, 2020","2020","85029","85029","85029","2.29","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85031","85031","85031","83.49","2020-2024","Zip Code Tabulation Area, 2020","2020","85031","85031","85031","6.80","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85032","85032","85032","73.98","2020-2024","Zip Code Tabulation Area, 2020","2020","85032","85032","85032","0.71","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85033","85033","85033","84.73","2020-2024","Zip Code Tabulation Area, 2020","2020","85033","85033","85033","1.48","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85034","85034","85034","81.41","2020-2024","Zip Code Tabulation Area, 2020","2020","85034","85034","85034","0.33","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85035","85035","85035","84.17","2020-2024","Zip Code Tabulation Area, 2020","2020","85035","85035","85035","2.89","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85037","85037","85037","83.57","2020-2024","Zip Code Tabulation Area, 2020","2020","85037","85037","85037","0.24","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85040","85040","85040","81.49","2020-2024","Zip Code Tabulation Area, 2020","2020","85040","85040","85040","1.76","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85041","85041","85041","79.59","2020-2024","Zip Code Tabulation Area, 2020","2020","85041","85041","85041","1.98","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85042","85042","85042","75.11","2020-2024","Zip Code Tabulation Area, 2020","2020","85042","85042","85042","0.73","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85043","85043","85043","85.17","2020-2024","Zip Code Tabulation Area, 2020","2020","85043","85043","85043","1.18","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85044","85044","85044","68.96","2020-2024","Zip Code Tabulation Area, 2020","2020","85044","85044","85044","0.51","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85045","85045","85045","67.81","2020-2024","Zip Code Tabulation Area, 2020","2020","85045","85045","85045","0.14","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85048","85048","85048","68.84","2020-2024","Zip Code Tabulation Area, 2020","2020","85048","85048","85048","0.48","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85050","85050","85050","71.64","2020-2024","Zip Code Tabulation Area, 2020","2020","85050","85050","85050","0.05","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85051","85051","85051","81.49","2020-2024","Zip Code Tabulation Area, 2020","2020","85051","85051","85051","1.51","2020-2024"
