"Location","SitsinState","GeoID_Description_1","GeoVintage_1","GeoID_Name_1","GeoID_1","GeoID_Formatted_1","mhhinc_20202024","TimeFrame_1","GeoID_Description_2","GeoVintage_2","GeoID_Name_2","GeoID_2","GeoID_Formatted_2","rpopden_20202024","TimeFrame_2","GeoID_Description_3","GeoVintage_3","GeoID_Name_3","GeoID_3","GeoID_Formatted_3","ppov_20202024","TimeFrame_3","GeoID_Description_4","GeoVintage_4","GeoID_Name_4","GeoID_4","GeoID_Formatted_4","pbach_20202024","TimeFrame_4"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85003","85003","85003","60461","2020-2024","Zip Code Tabulation Area, 2020","2020","85003","85003","85003","5846.65","2020-2024","Zip Code Tabulation Area, 2020","2020","85003","85003","85003","28.85","2020-2024","Zip Code Tabulation Area, 2020","2020","85003","85003","85003","22.72","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85004","85004","85004","73750","2020-2024","Zip Code Tabulation Area, 2020","2020","85004","85004","85004","6045.32","2020-2024","Zip Code Tabulation Area, 2020","2020","85004","85004","85004","21.67","2020-2024","Zip Code Tabulation Area, 2020","2020","85004","85004","85004","34.43","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","58248","2020-2024","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","5522.29","2020-2024","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","23.08","2020-2024","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","15.52","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85007","85007","85007","63616","2020-2024","Zip Code Tabulation Area, 2020","2020","85007","85007","85007","2948.68","2020-2024","Zip Code Tabulation Area, 2020","2020","85007","85007","85007","21.61","2020-2024","Zip Code Tabulation Area, 2020","2020","85007","85007","85007","12.38","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85008","85008","85008","66353","2020-2024","Zip Code Tabulation Area, 2020","2020","85008","85008","85008","5839.93","2020-2024","Zip Code Tabulation Area, 2020","2020","85008","85008","85008","18.45","2020-2024","Zip Code Tabulation Area, 2020","2020","85008","85008","85008","17.89","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85009","85009","85009","52054","2020-2024","Zip Code Tabulation Area, 2020","2020","85009","85009","85009","3553.56","2020-2024","Zip Code Tabulation Area, 2020","2020","85009","85009","85009","27.34","2020-2024","Zip Code Tabulation Area, 2020","2020","85009","85009","85009","5.32","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85012","85012","85012","86620","2020-2024","Zip Code Tabulation Area, 2020","2020","85012","85012","85012","3861.08","2020-2024","Zip Code Tabulation Area, 2020","2020","85012","85012","85012","15.33","2020-2024","Zip Code Tabulation Area, 2020","2020","85012","85012","85012","33.67","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85013","85013","85013","71966","2020-2024","Zip Code Tabulation Area, 2020","2020","85013","85013","85013","6103.36","2020-2024","Zip Code Tabulation Area, 2020","2020","85013","85013","85013","9.72","2020-2024","Zip Code Tabulation Area, 2020","2020","85013","85013","85013","24.70","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85014","85014","85014","66731","2020-2024","Zip Code Tabulation Area, 2020","2020","85014","85014","85014","6414.20","2020-2024","Zip Code Tabulation Area, 2020","2020","85014","85014","85014","12.03","2020-2024","Zip Code Tabulation Area, 2020","2020","85014","85014","85014","27.41","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85015","85015","85015","54874","2020-2024","Zip Code Tabulation Area, 2020","2020","85015","85015","85015","8457.96","2020-2024","Zip Code Tabulation Area, 2020","2020","85015","85015","85015","20.15","2020-2024","Zip Code Tabulation Area, 2020","2020","85015","85015","85015","17.49","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85016","85016","85016","87850","2020-2024","Zip Code Tabulation Area, 2020","2020","85016","85016","85016","4523.41","2020-2024","Zip Code Tabulation Area, 2020","2020","85016","85016","85016","10.06","2020-2024","Zip Code Tabulation Area, 2020","2020","85016","85016","85016","30.95","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85017","85017","85017","58346","2020-2024","Zip Code Tabulation Area, 2020","2020","85017","85017","85017","8765.31","2020-2024","Zip Code Tabulation Area, 2020","2020","85017","85017","85017","27.10","2020-2024","Zip Code Tabulation Area, 2020","2020","85017","85017","85017","7.40","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85018","85018","85018","93885","2020-2024","Zip Code Tabulation Area, 2020","2020","85018","85018","85018","2472.77","2020-2024","Zip Code Tabulation Area, 2020","2020","85018","85018","85018","8.24","2020-2024","Zip Code Tabulation Area, 2020","2020","85018","85018","85018","34.32","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85019","85019","85019","68528","2020-2024","Zip Code Tabulation Area, 2020","2020","85019","85019","85019","7351.47","2020-2024","Zip Code Tabulation Area, 2020","2020","85019","85019","85019","21.75","2020-2024","Zip Code Tabulation Area, 2020","2020","85019","85019","85019","8.69","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85020","85020","85020","83735","2020-2024","Zip Code Tabulation Area, 2020","2020","85020","85020","85020","3975.74","2020-2024","Zip Code Tabulation Area, 2020","2020","85020","85020","85020","12.45","2020-2024","Zip Code Tabulation Area, 2020","2020","85020","85020","85020","24.88","2020-2024"
